Episode No.,Avg Reward,Team Reward,Agent 0 reached goal,Agent 1 reached goal,Goals reached,Agent 0 X,Agent 0 Y,Agent 1 X,Agent 1 Y,Agent 0 Goal X,Agent 0 Goal Y,Agent 1 Goal X,Agent 1 Goal Y
1410,-37.25,-40,1,0,1,7,0,6,2,4,9,5,9
1420,-37.7,-40,1,0,1,7,2,6,5,4,9,5,9
1430,-159.92,-40,1,0,1,5,1,1,4,4,9,5,9
1340,-10.05,27.2,1,1,2,3,0,6,7,4,9,5,9
1450,-47.67,-40,1,0,1,1,1,8,5,4,9,5,9
1460,-35.68,-40,1,0,1,8,7,7,3,4,9,5,9
210,-12.78,27.1,1,1,2,5,1,0,6,4,9,5,9
1480,-16.68,-40,1,0,1,7,8,0,3,4,9,5,9
1490,-18.83,-40,1,0,1,3,0,9,0,4,9,5,9
1500,-22.53,-40,1,0,1,9,0,4,8,4,9,5,9
1510,-61.3,-40,1,0,1,6,6,7,3,4,9,5,9
1520,-30.88,-40,1,0,1,7,8,2,6,4,9,5,9
4460,-4.73,25.3,1,1,2,0,7,5,8,4,9,5,9
1540,-32.3,-40,0,1,1,5,8,4,9,4,9,5,9
1550,-83.6,-40,1,0,1,7,4,7,0,4,9,5,9
1560,-15.35,-40,1,0,1,5,6,3,3,4,9,5,9
1570,-17.63,-40,1,0,1,4,4,4,0,4,9,5,9
1580,-16.3,-40,1,0,1,0,5,9,4,4,9,5,9
1590,-78.37,-40,1,0,1,2,2,9,4,4,9,5,9
1440,-78.02,25.2,1,1,2,6,7,7,6,4,9,5,9
1610,-66.13,-40,0,0,0,5,7,2,9,4,9,5,9
1630,-35.7,24.7,1,1,2,5,7,5,8,4,9,5,9
500,-20.53,24.6,1,1,2,8,6,3,8,4,9,5,9
1640,-16,-40,1,0,1,5,8,0,6,4,9,5,9
1650,-127.92,-40,0,0,0,3,0,9,6,4,9,5,9
810,-23.25,22,1,1,2,2,6,5,6,4,9,5,9
1670,-123.52,-40,1,0,1,3,1,2,4,4,9,5,9
1680,-207.35,-40,0,0,0,6,0,2,2,4,9,5,9
1690,-20.38,-40,1,0,1,2,3,6,0,4,9,5,9
1700,-19.4,-40,1,0,1,0,7,3,6,4,9,5,9
1710,-29.4,-40,1,0,1,0,9,7,9,4,9,5,9
1720,-22.03,-40,0,1,1,7,8,6,9,4,9,5,9
1730,-29.58,-40,1,0,1,4,4,8,7,4,9,5,9
1740,-23.05,-40,1,0,1,4,4,1,3,4,9,5,9
